start_fresh,asset_type,snapshot_name,snapshot_id,source_vm_name,os_distro,size_gb,disk_format,status,migratable,licensed,migration_method,reason,created_at
"true","glance_image","drupalphp","97215bb0-35fa-48d3-9572-796427b161c0","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-05-16"
"true","glance_image","lamp","d4b5dfb5-5c57-4416-9778-a3269b53ead5","","centos","1.22","vhd","active","true","false","glance-export","downloadable saved image","2026-05-16"
"true","glance_image","opscwin2016-20260508-093253-snap-202605080933","a04131d3-f141-4309-886a-2eed8e4a8437","","windows","6.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"true","glance_image","opscwin2016-20260508-102916-snap-202605081029","c69780b2-625e-4ead-953a-3c65e894da24","","windows","6.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"true","glance_image","opscwin2016-20260508-105705-snap-202605081057","ccf20257-ff19-4d38-84a3-a84e392cb71c","","windows","6.2","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"true","glance_image","opscwin2016-20260508-115746-snap-202605081157","431b81b7-dd33-4c23-a4e2-c28fff30d1ae","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"true","glance_image","opscwin2016-20260508-121357-snap-202605081214","8b6da88f-970c-4c3f-93b8-f0989a8b538c","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"true","glance_image","opscwin2016-20260508-122404-snap-202605081224","221600a6-95e0-4321-b5d2-3ab03c0990cd","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-123250-snap-202605081232","d4e120aa-ebd5-4b5f-863f-178bfb3a5948","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-130840-snap-202605081308","145cdb83-1cd6-4e2e-8fb9-28c48c3d0f10","","windows","6.22","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-143503-snap-202605081435","c8f7b025-1214-47f3-b8cb-1b8bd35e5493","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-155450-snap-202605081554","3202f628-b0d3-4fda-b407-e81ccc064f1f","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-160234-snap-202605081602","c12a7807-f922-4079-abd5-63895fcb8137","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260508-161529-snap-202605081615","70c924b0-5272-4a2a-9703-d871ee98be35","","windows","6.21","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-08"
"false","glance_image","opscwin2016-20260509-094719-snap-202605090947","e5d9acd0-2af1-471c-812f-8985292c3a5c","","windows","10.79","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-09"
"false","glance_image","opscwin2016-20260509-144059-snap-202605091441","dd803810-1efa-402b-8015-303e72170717","","windows","10.79","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-09"
"false","glance_image","opscwin2016-20260509-150218-snap-202605091502","1e149a8b-1920-4c1d-9cdd-6adc39b02ef9","","windows","10.79","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-09"
"false","glance_image","opscwin2016-20260509-153303-snap-202605091533","50791971-af21-41e4-b4ec-77842c4507dd","","windows","10.79","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-09"
"false","glance_image","opscwin2016-20260509-154927-snap-202605091549","3fd61cc0-0be5-4bb1-abad-3c57ae530750","","windows","10.79","vhd","active","true","true","cinder-only","licensed (com.rackspace__1__options=4) — Cinder volume required","2026-05-09"
